1.1.1.4. Egyes termékek és szolgáltatások éves fogyasztói átlagára (nyers adatok) [Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kódszám;Termék, szolgáltatás;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
14202;Görögdinnye, kg;33;30;85;75;62;54;89;74;52;90;89;118;96;98;115;164;142;164;169;159;186;169;177;215;280;278;303;417;467;465
14209;Körte, kg;..;..;175;211;233;214;299;330;297;306;302;366;396;421;422;416;451;444;495;458;524;542;593;617;660;833;833;959;1 160;1 200
14221;Citrom, kg ;162;232;242;246;257;264;301;297;328;329;333;329;359;574;428;512;423;491;550;628;657;819;705;753;704;912;825;971;1 030;1 060
14222;Banán, kg;137;183;200;208;193;213;246;268;262;274;335;333;327;338;373;347;359;392;390;406;421;433;426;442;467;494;503;626;770;759
14224;Narancs, kg ;149;190;191;183;206;191;263;250;269;296;279;293;313;334;342;348;353;367;377;365;411;405;453;467;473;640;604;702;827;857
14310;Dobozos narancslé, 1 l, doboz;106;126;187;205;229;248;254;263;266;282;294;303;329;340;350;357;375;403;415;416;415;428;435;461;469;476;497;576;764;938
14401;Gyorsfagyasztott zöldborsó, kg;253;268;308;394;429;443;455;509;512;502;489;525;595;668;719;725;743;746;698;688;693;703;698;695;728;789;850;1 010;1 290;1 140
14425;Csemegekukorica konzerv, kg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;238;263;268;273;274;281;291;301;311;335;366;465;2 150;1 970
14508;Gyümölcslekvár, 250–650 g, min. 50%, kg;..;..;..;..;..;..;..;..;..;276;284;294;318;353;376;379;369;429;465;471;458;459;460;464;491;515;542;726;2 670;2 680
14601;Szárazbab, csomagolt is, kg;274;300;304;299;317;364;433;427;418;419;396;388;455;549;603;614;601;670;741;797;828;812;848;889;929;1 010;1 100;1 420;1 660;1 610
14701;Tisztított dió, csomagolt is (nem darált, nem cukrozott),kg;628;822;831;1 010;1 110;1 160;1 180;1 300;1 360;1 270;1 390;1 760;1 840;2 070;2 000;2 010;2 560;2 650;2 840;2 970;3 310;3 250;3 560;3 780;4 130;4 330;4 630;5 300;5 720;5 600
15101;Hasábburgonya, gyorsfagyasztott, félkész, 750–1000 g, csomag;120;138;138;155;373;394;417;418;406;368;330;336;427;421;419;423;440;451;463;469;461;473;482;486;532;552;576;762;1 090;1 050
15201;Bors, fekete, õrölt, 16-25 g, csomag;33;42;48;71;82;88;89;88;76;72;70;68;75;81;90;100;110;138;147;149;148;160;172;169;165;165;168;189;221;213
15202;Fûszerpaprika, csemege, 75–100 g-os tasakból 1 kg-ra számítva;51;64;82;90;84;157;170;169;171;189;220;220;255;318;363;376;384;391;380;3 870;3 980;4 080;4 080;4 100;4 390;4 780;5 010;5 750;7 880;9 030
15204;Só, étkezési, finomított, 1 kg (kivéve tengeri só), kg;29;37;43;47;47;50;53;54;55;57;56;56;63;71;77;83;89;94;91;92;89;87;89;97;130;143;151;191;303;269
16041;Napi menü, 2 fogásos, adag;221;274;300;335;354;390;441;471;499;551;531;568;621;675;727;749;773;814;843;853;863;898;946;1 020;1 100;1 210;1 320;1 610;1 980;2 140
16201;Iskolai ebéd, adag;73;88;104;121;126;131;147;162;176;194;204;216;237;254;269;285;297;316;326;334;343;348;353;364;373;391;405;440;557;607
16407;Hamburger, db;87;102;120;138;154;173;200;224;238;261;274;293;319;344;366;382;400;432;450;477;496;514;534;566;631;717;831;1 110;1 510;1 700
17011;Õrölt kávé 200–250 g, csomag;349;388;400;443;448;421;409;398;390;387;408;423;465;513;549;574;671;753;668;621;640;669;729;718;696;698;733;1 020;1 300;1 400
17101;Eszpresszókávé, vendéglátóhelyen, db;39;47;53;61;69;79;90;100;111;127;145;155;171;188;203;217;226;237;249;243;249;254;265;276;293;310;331;392;485;536
17204;Ceylon tea, 20 db filterrel, doboz ;101;116;137;159;168;170;159;160;164;151;150;153;156;166;180;200;234;244;238;239;244;261;303;..;..;..;..;..;..;..
17305;Ásványvíz, 1,5 l, szénsavas, palack;79;87;90;87;89;85;86;95;111;117;118;114;110;114;114;107;102;105;103;102;102;104;103;107;112;114;114;138;179;182
